,combined_id,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
13,16820.epa.dwellings_50_or_more_units,2116.0,1990.0,2210.0,2716.0,2767.0,2384.0,2342.0,2937.0,2873.0,2661.0,2252.0,3217.0
14,16820.epa.walked_to_work,4520.0,4566.0,3085.0,3429.0,5468.0,3417.0,4326.0,5323.0,5846.0,4802.0,4807.0,5765.0
15,16820.epa.commuters_by_public_transportation,2711.0,2946.0,2676.0,2090.0,2635.0,3282.0,2187.0,3287.0,3910.0,2638.0,3579.0,4619.0
16,16820.epa.commuters_by_car_truck_van,77566.0,82084.0,77914.0,79604.0,73487.0,80666.0,85363.0,88201.0,91907.0,90574.0,92210.0,89325.0
17,16820.epa.commute_under_10_mins,,19192.0,,,,,,22228.0,29316.0,,21601.0,
18,16820.epa.commute_10_29_mins,47812.0,52883.0,49195.0,48282.0,48584.0,52736.0,53942.0,55820.0,54326.0,55533.0,55595.0,58962.0
19,16820.epa.commute_30_59_mins,,29818.0,,,,,,32223.0,34934.0,,37810.0,
20,16820.epa.commute_over_60_mins,,9442.0,,,,,,12134.0,10674.0,,13202.0,
21,16820.epa.income_per_capita,29142.0,31985.0,28992.0,31854.0,31153.0,32338.0,30465.0,31428.0,34093.0,33886.0,37735.0,44099.0
22,16820.epa.gini_index,0.449,0.472,0.469,0.502,0.4882,0.4726,0.4666,0.4962,0.4713,0.462,0.4827,0.5185
23,16820.epa.poverty,24576.0,18901.0,24231.0,23052.0,24801.0,26922.0,33811.0,30323.0,28521.0,26494.0,25458.0,29956.0
24,16820.epa.rent_over_50_percent,6714.0,6178.0,5696.0,6110.0,6561.0,6442.0,6125.0,9825.0,5974.0,7193.0,7401.0,7900.0
25,16820.epa.rent_25_to_50_percent,7371.0,10012.0,9875.0,9129.0,8606.0,8274.0,9638.0,9554.0,10194.0,10542.0,8269.0,9585.0
26,16820.epa.rent_under_25_percent,6623.0,5830.0,4283.0,6351.0,5304.0,6993.0,5036.0,7197.0,8204.0,8786.0,8995.0,9738.0
27,16820.epa.median_rent,784.0,793.0,822.0,876.0,893.0,848.0,927.0,874.0,911.0,1012.0,979.0,1027.0
28,12220.epa.total_pop,130516.0,133010.0,135883.0,140780.0,143468.0,147257.0,150933.0,154255.0,156993.0,158991.0,161604.0,163941.0
29,12220.epa.median_age,28.8,28.9,27.1,29.2,28.8,29.8,30.5,30.5,31.6,31.0,31.8,32.1
30,12220.epa.nonfamily_households,22784.0,23416.0,25850.0,21938.0,22946.0,21504.0,20452.0,21074.0,20419.0,23429.0,23193.0,22022.0
31,12220.epa.family_households,32951.0,32570.0,30300.0,33135.0,33328.0,34016.0,36388.0,36806.0,37772.0,35925.0,35362.0,37314.0
32,12220.epa.high_school_including_ged,18196.0,20478.0,19170.0,21184.0,22210.0,22638.0,20374.0,23371.0,21624.0,21014.0,24545.0,22215.0
33,12220.epa.graduate_professional_degree,9919.0,10251.0,9010.0,11106.0,11107.0,12066.0,14692.0,11708.0,12749.0,15189.0,14962.0,13765.0
34,12220.epa.some_college_and_associates_degree,19381.0,20402.0,20597.0,22469.0,20786.0,22547.0,24611.0,28501.0,31058.0,28516.0,31893.0,34105.0
35,12220.epa.housing_units,61045.0,62415.0,63445.0,62660.0,63483.0,64408.0,64625.0,65570.0,66385.0,67173.0,68921.0,70372.0
36,12220.epa.occupied_housing_units,55735.0,55986.0,56150.0,55073.0,56274.0,55520.0,56840.0,57880.0,58191.0,59354.0,58555.0,59336.0
37,12220.epa.median_structure_age,27.0,28.0,27.0,26.0,27.0,26.0,27.0,25.0,24.0,25.0,23.0,22.0
38,12220.epa.dwellings_under_4_units,36734.0,38296.0,37651.0,39584.0,40574.0,41347.0,40405.0,43149.0,43787.0,44173.0,45388.0,47371.0
39,12220.epa.dwellings_5_to_19_units,7352.0,6117.0,7358.0,7150.0,7497.0,7249.0,8153.0,7538.0,8887.0,7969.0,7305.0,5372.0
40,12220.epa.dwellings_20_to_49_units,1717.0,2481.0,2968.0,2493.0,1857.0,2464.0,3020.0,2361.0,2113.0,1675.0,2051.0,2359.0
41,12220.epa.dwellings_50_or_more_units,1231.0,1075.0,1030.0,1360.0,1008.0,2241.0,910.0,867.0,1303.0,1522.0,2419.0,4892.0
42,12220.epa.walked_to_work,681.0,2117.0,1431.0,2129.0,,,,,,,,
43,12220.epa.commuters_by_public_transportation,427.0,559.0,280.0,478.0,625.0,617.0,,,,268.0,,
44,12220.epa.commuters_by_car_truck_van,55677.0,55966.0,54970.0,56719.0,,,,,,,,
45,12220.epa.commute_under_10_mins,,,,,,,,,,,,
46,12220.epa.commute_10_29_mins,34328.0,35161.0,38128.0,34267.0,37339.0,38718.0,39092.0,41211.0,40185.0,38437.0,41621.0,43136.0
47,12220.epa.commute_30_59_mins,,,,,,,,,,,,
48,12220.epa.commute_over_60_mins,,,,,,,,,,,,
49,12220.epa.income_per_capita,22292.0,24497.0,22111.0,21184.0,21824.0,22487.0,25024.0,25204.0,24097.0,25081.0,26542.0,27874.0
50,12220.epa.gini_index,0.457,0.497,0.493,0.48,0.4747,0.468,0.496,0.5434,0.4927,0.4773,0.4714,0.539
51,12220.epa.poverty,22074.0,19408.0,28324.0,30254.0,31644.0,34970.0,30038.0,41214.0,33230.0,29192.0,30258.0,32067.0
52,12220.epa.rent_over_50_percent,5199.0,5100.0,7244.0,6930.0,7141.0,6217.0,6694.0,9931.0,7841.0,6088.0,5022.0,6006.0
53,12220.epa.rent_25_to_50_percent,6909.0,6438.0,7233.0,6165.0,6666.0,6483.0,7203.0,6839.0,7386.0,7430.0,7899.0,5574.0
54,12220.epa.rent_under_25_percent,5432.0,3547.0,3797.0,3265.0,4119.0,3336.0,5987.0,3379.0,5272.0,5604.0,5127.0,5244.0
55,12220.epa.median_rent,477.0,505.0,511.0,534.0,559.0,631.0,617.0,591.0,621.0,636.0,666.0,645.0
56,37900.epa.total_pop,369721.0,373174.0,375779.0,378712.0,380961.0,380558.0,382776.0,379520.0,376987.0,376044.0,373637.0,368683.0
57,37900.epa.median_age,37.5,37.7,38.1,38.8,38.9,38.8,38.7,38.8,38.7,39.6,39.6,39.7
58,37900.epa.nonfamily_households,49897.0,52703.0,56337.0,48490.0,53489.0,52444.0,53181.0,52074.0,53992.0,51740.0,52986.0,53640.0
59,37900.epa.family_households,98581.0,98480.0,93896.0,102408.0,98280.0,100299.0,98870.0,97441.0,96647.0,99518.0,94381.0,93967.0
60,37900.epa.high_school_including_ged,79943.0,73788.0,80299.0,82844.0,85105.0,81322.0,79334.0,76939.0,78576.0,76619.0,73515.0,76524.0
61,37900.epa.graduate_professional_degree,17922.0,20312.0,20876.0,21441.0,22937.0,21987.0,22009.0,25485.0,24765.0,23345.0,28033.0,26409.0
62,37900.epa.some_college_and_associates_degree,78321.0,84137.0,82619.0,80811.0,85372.0,85782.0,85190.0,84519.0,84919.0,87561.0,82823.0,83728.0
63,37900.epa.housing_units,162366.0,163510.0,164078.0,164540.0,164743.0,164543.0,165005.0,165392.0,165966.0,166323.0,167029.0,166773.0
64,37900.epa.occupied_housing_units,148478.0,151183.0,150233.0,150898.0,151769.0,152743.0,152051.0,149515.0,150639.0,151258.0,147367.0,147607.0
65,37900.epa.median_structure_age,55.0,55.0,56.0,54.0,53.0,54.0,54.0,53.0,53.0,52.0,53.0,51.0
66,37900.epa.dwellings_under_4_units,138182.0,141624.0,139729.0,142726.0,140072.0,141276.0,139398.0,141632.0,141969.0,142161.0,144748.0,141688.0
67,37900.epa.dwellings_5_to_19_units,14082.0,11898.0,11885.0,10788.0,13924.0,12485.0,14823.0,11808.0,11948.0,12389.0,10743.0,11527.0
68,37900.epa.dwellings_20_to_49_units,2958.0,3469.0,3834.0,3541.0,3101.0,3318.0,3512.0,3967.0,4073.0,4438.0,4218.0,4116.0
69,37900.epa.dwellings_50_or_more_units,3502.0,3401.0,3857.0,3986.0,3974.0,3655.0,4465.0,4296.0,4358.0,4440.0,5247.0,6077.0
70,37900.epa.walked_to_work,3667.0,3647.0,4292.0,3711.0,3523.0,3511.0,3895.0,3257.0,2645.0,3823.0,4225.0,3313.0
71,37900.epa.commuters_by_public_transportation,1388.0,2576.0,1559.0,1146.0,1889.0,2631.0,2249.0,2839.0,2903.0,2153.0,1891.0,1084.0
72,37900.epa.commuters_by_car_truck_van,158904.0,167876.0,160427.0,156393.0,160621.0,164354.0,161598.0,161774.0,160035.0,158168.0,151710.0,154399.0
73,37900.epa.commute_under_10_mins,,57615.0,,,49058.0,51532.0,,52587.0,,49138.0,,
74,37900.epa.commute_10_29_mins,99110.0,106009.0,102450.0,101343.0,103693.0,103443.0,104035.0,99433.0,102874.0,102874.0,96450.0,98274.0
75,37900.epa.commute_30_59_mins,,40628.0,,,36595.0,41045.0,,42173.0,,37825.0,,
76,37900.epa.commute_over_60_mins,,12662.0,,,10034.0,13838.0,,11196.0,,10682.0,,
77,37900.epa.income_per_capita,26177.0,28306.0,27622.0,26282.0,26134.0,27767.0,28217.0,29630.0,30740.0,30512.0,32669.0,31495.0
78,37900.epa.gini_index,0.437,0.446,0.454,0.43,0.4269,0.438,0.4409,0.4393,0.4537,0.4446,0.4693,0.4578
79,37900.epa.poverty,36049.0,39436.0,46967.0,45058.0,55612.0,51431.0,47768.0,46663.0,43431.0,41801.0,42045.0,48365.0
80,37900.epa.rent_over_50_percent,9479.0,6827.0,8188.0,8289.0,8678.0,9017.0,8417.0,8061.0,8640.0,8779.0,7377.0,9475.0
81,37900.epa.rent_25_to_50_percent,12478.0,13991.0,13680.0,15240.0,13416.0,13770.0,14337.0,13138.0,11794.0,12644.0,12563.0,13485.0
82,37900.epa.rent_under_25_percent,11232.0,10440.0,12565.0,10387.0,12896.0,13716.0,14608.0,13529.0,12477.0,13434.0,11799.0,12725.0
83,37900.epa.median_rent,488.0,506.0,506.0,516.0,522.0,533.0,568.0,582.0,603.0,595.0,581.0,625.0
84,40060.epa.total_pop,1211608.0,1230502.0,1235458.0,1261317.0,1270541.0,1280678.0,1248513.0,1260668.0,1271142.0,1282066.0,1301540.0,1303621.0
85,40060.epa.median_age,37.1,37.4,37.3,37.8,38.0,38.2,38.1,37.9,38.4,39.0,38.8,38.8
86,40060.epa.nonfamily_households,155939.0,160823.0,155523.0,154379.0,169707.0,163301.0,166680.0,163424.0,174879.0,176333.0,163974.0,178854.0
87,40060.epa.family_households,313105.0,306179.0,312553.0,321306.0,304484.0,313458.0,300719.0,310579.0,308248.0,310544.0,317585.0,318562.0
88,40060.epa.high_school_including_ged,237358.0,221682.0,222204.0,228881.0,232142.0,230897.0,228263.0,226954.0,227313.0,222246.0,230809.0,227674.0
89,40060.epa.graduate_professional_degree,86909.0,88142.0,91161.0,94330.0,97054.0,105081.0,103253.0,107671.0,114449.0,122606.0,126199.0,132900.0
90,40060.epa.some_college_and_associates_degree,207939.0,225837.0,219007.0,229655.0,230904.0,240305.0,240507.0,241250.0,244562.0,248380.0,247480.0,237393.0
91,40060.epa.housing_units,511135.0,519359.0,518519.0,532520.0,537564.0,534929.0,512757.0,518539.0,521123.0,527371.0,528640.0,535243.0
92,40060.epa.occupied_housing_units,469044.0,467002.0,468076.0,475685.0,474191.0,476759.0,467399.0,474003.0,483127.0,486877.0,481559.0,497416.0
93,40060.epa.median_structure_age,41.0,40.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,37.0,37.0,36.0
94,40060.epa.dwellings_under_4_units,413434.0,420722.0,420761.0,429384.0,428497.0,432650.0,416965.0,419289.0,419931.0,429939.0,433885.0,431848.0
95,40060.epa.dwellings_5_to_19_units,59471.0,56249.0,56999.0,60214.0,64177.0,56394.0,55632.0,55974.0,57862.0,54763.0,53448.0,56280.0
96,40060.epa.dwellings_20_to_49_units,8494.0,9653.0,9507.0,10750.0,12441.0,11708.0,9604.0,9885.0,11060.0,10875.0,10659.0,11857.0
97,40060.epa.dwellings_50_or_more_units,13915.0,15576.0,14524.0,15449.0,16755.0,18042.0,17630.0,21154.0,20929.0,19165.0,19180.0,22503.0
98,40060.epa.walked_to_work,9692.0,8448.0,7815.0,6860.0,8229.0,8840.0,11963.0,10113.0,11749.0,12132.0,12231.0,9256.0
99,40060.epa.commuters_by_public_transportation,8903.0,12709.0,11676.0,10509.0,9730.0,9707.0,7956.0,10742.0,9173.0,9077.0,8416.0,11080.0
100,40060.epa.commuters_by_car_truck_van,541344.0,557555.0,527293.0,537165.0,540253.0,552905.0,538377.0,562671.0,567807.0,573699.0,573686.0,584828.0
101,40060.epa.commute_under_10_mins,107885.0,99702.0,99949.0,100639.0,90724.0,102699.0,94789.0,102196.0,98315.0,93433.0,95725.0,95435.0
102,40060.epa.commute_10_29_mins,320735.0,328764.0,313992.0,323878.0,327997.0,332213.0,326307.0,342164.0,349403.0,342651.0,335013.0,350580.0
103,40060.epa.commute_30_59_mins,192708.0,212152.0,194557.0,187562.0,194258.0,199988.0,195355.0,205096.0,207573.0,219363.0,230614.0,230521.0
104,40060.epa.commute_over_60_mins,59274.0,63474.0,58962.0,57938.0,55608.0,60826.0,64468.0,62002.0,59240.0,68876.0,65556.0,60730.0
105,40060.epa.income_per_capita,28889.0,30442.0,28458.0,28883.0,28349.0,28943.0,29527.0,31741.0,32423.0,34250.0,34720.0,35443.0
106,40060.epa.gini_index,0.434,0.447,0.44,0.446,0.4433,0.4453,0.4568,0.4512,0.463,0.4649,0.453,0.4533
107,40060.epa.poverty,121425.0,125634.0,133809.0,141304.0,152869.0,147786.0,167791.0,156376.0,145268.0,147974.0,141615.0,143285.0
108,40060.epa.rent_over_50_percent,28463.0,29978.0,31204.0,31999.0,34075.0,38073.0,43581.0,40729.0,41390.0,44449.0,35168.0,36948.0
109,40060.epa.rent_25_to_50_percent,60237.0,49168.0,58484.0,60066.0,57855.0,56235.0,59517.0,58545.0,61665.0,60080.0,63003.0,64601.0
110,40060.epa.rent_under_25_percent,31691.0,32024.0,28536.0,28396.0,33278.0,33186.0,37032.0,40018.0,39569.0,38345.0,40894.0,41293.0
111,40060.epa.median_rent,689.0,726.0,744.0,754.0,780.0,786.0,803.0,848.0,863.0,868.0,896.0,931.0
112,22180.epa.total_pop,348940.0,356105.0,360355.0,367733.0,374157.0,374585.0,377193.0,377939.0,376509.0,380389.0,386662.0,387094.0
113,22180.epa.median_age,32.8,32.5,29.7,30.7,30.7,31.0,31.0,31.7,32.1,32.0,31.4,31.9
114,22180.epa.nonfamily_households,38351.0,38539.0,42323.0,43921.0,42880.0,44851.0,48380.0,48947.0,47733.0,51211.0,54584.0,53121.0
115,22180.epa.family_households,91107.0,94027.0,89786.0,89133.0,92675.0,94553.0,94447.0,91257.0,89425.0,90761.0,88722.0,93639.0
116,22180.epa.high_school_including_ged,64660.0,56874.0,59642.0,58215.0,62622.0,62251.0,62279.0,58210.0,59260.0,63935.0,65762.0,62159.0
117,22180.epa.graduate_professional_degree,13734.0,16273.0,15332.0,17477.0,14728.0,16360.0,16375.0,18480.0,20666.0,18788.0,18005.0,21687.0
118,22180.epa.some_college_and_associates_degree,80030.0,85847.0,83722.0,82382.0,90845.0,91844.0,91644.0,97444.0,93156.0,94286.0,93117.0,95010.0
119,22180.epa.housing_units,150916.0,153270.0,151455.0,154309.0,156027.0,159794.0,161753.0,163907.0,164590.0,165658.0,167563.0,168287.0
120,22180.epa.occupied_housing_units,129458.0,132566.0,132109.0,133054.0,135555.0,139404.0,142827.0,140204.0,137158.0,141972.0,143306.0,146760.0
121,22180.epa.median_structure_age,35.0,35.0,32.0,32.0,32.0,32.0,31.0,31.0,32.0,31.0,31.0,30.0
122,22180.epa.dwellings_under_4_units,113052.0,114073.0,108605.0,115905.0,115636.0,120110.0,118358.0,121278.0,122587.0,121447.0,124250.0,122251.0
123,22180.epa.dwellings_5_to_19_units,11402.0,13176.0,17815.0,15656.0,17703.0,16114.0,17913.0,17968.0,19354.0,19439.0,19175.0,18728.0
124,22180.epa.dwellings_20_to_49_units,2496.0,3604.0,3309.0,4893.0,3495.0,4830.0,4665.0,6047.0,5649.0,6587.0,6149.0,7392.0
125,22180.epa.dwellings_50_or_more_units,892.0,734.0,1166.0,1311.0,2350.0,1285.0,1665.0,1014.0,1391.0,1171.0,1461.0,1500.0
126,22180.epa.walked_to_work,2851.0,3541.0,7704.0,5948.0,6486.0,6150.0,5412.0,5749.0,6248.0,5788.0,10489.0,8940.0
127,22180.epa.commuters_by_public_transportation,795.0,599.0,642.0,626.0,958.0,1012.0,1413.0,1363.0,526.0,1057.0,1593.0,717.0
128,22180.epa.commuters_by_car_truck_van,139108.0,147745.0,140483.0,145277.0,147423.0,147925.0,147180.0,152050.0,149876.0,149836.0,150057.0,156999.0
129,22180.epa.commute_under_10_mins,,,,,,,,,,,,
130,22180.epa.commute_10_29_mins,89002.0,94583.0,88260.0,92241.0,92798.0,93483.0,98404.0,104211.0,93180.0,91896.0,95651.0,97461.0
131,22180.epa.commute_30_59_mins,,,,,,,,,,,,
132,22180.epa.commute_over_60_mins,,,,,,,,,,,,
133,22180.epa.income_per_capita,20644.0,22873.0,20720.0,21637.0,21256.0,21315.0,21736.0,22606.0,21960.0,22584.0,22856.0,24514.0
134,22180.epa.gini_index,0.433,0.434,0.443,0.437,0.4356,0.4156,0.4347,0.4486,0.4536,0.4376,0.4421,0.4439
135,22180.epa.poverty,55421.0,53023.0,60247.0,63579.0,67221.0,61869.0,68554.0,64982.0,70705.0,70997.0,67254.0,64326.0
136,22180.epa.rent_over_50_percent,11078.0,9011.0,12249.0,10977.0,12104.0,12201.0,13715.0,13113.0,14372.0,15868.0,16127.0,17238.0
137,22180.epa.rent_25_to_50_percent,17196.0,19014.0,21764.0,19366.0,22887.0,23701.0,26850.0,26689.0,25604.0,21977.0,25925.0,24323.0
138,22180.epa.rent_under_25_percent,11975.0,13323.0,13073.0,13322.0,12507.0,14199.0,15879.0,13654.0,12928.0,15146.0,14201.0,14543.0
139,22180.epa.median_rent,578.0,561.0,597.0,651.0,629.0,679.0,654.0,677.0,681.0,673.0,683.0,714.0
140,42580.epa.total_pop,184291.0,188036.0,192747.0,197871.0,200330.0,203390.0,,,,,,
141,42580.epa.median_age,41.8,41.7,44.9,45.4,45.9,46.7,,,,,,
142,42580.epa.nonfamily_households,22729.0,24547.0,24767.0,23499.0,24190.0,26868.0,,,,,,
143,42580.epa.family_households,51986.0,49999.0,48240.0,50530.0,50015.0,51127.0,,,,,,
144,42580.epa.high_school_including_ged,48982.0,51488.0,50574.0,55802.0,48591.0,54229.0,,,,,,
145,42580.epa.graduate_professional_degree,11432.0,11203.0,12240.0,10744.0,15165.0,14754.0,,,,,,
146,42580.epa.some_college_and_associates_degree,34028.0,35416.0,39554.0,37948.0,37370.0,38854.0,,,,,,
147,42580.epa.housing_units,114540.0,116582.0,118386.0,123373.0,125102.0,125700.0,,,,,,
148,42580.epa.occupied_housing_units,74715.0,74546.0,73007.0,74029.0,74205.0,77995.0,,,,,,
149,42580.epa.median_structure_age,32.0,31.0,29.0,30.0,27.0,27.0,,,,,,
150,42580.epa.dwellings_under_4_units,78927.0,80713.0,85847.0,88639.0,92211.0,91203.0,,,,,,
151,42580.epa.dwellings_5_to_19_units,6437.0,5598.0,6308.0,7246.0,8073.0,8001.0,,,,,,
152,42580.epa.dwellings_20_to_49_units,1256.0,1104.0,1583.0,1480.0,1815.0,2297.0,,,,,,
153,42580.epa.dwellings_50_or_more_units,2794.0,2696.0,1345.0,1294.0,1496.0,1452.0,,,,,,
154,42580.epa.walked_to_work,1627.0,1570.0,1308.0,1258.0,3430.0,742.0,,,,,,
155,42580.epa.commuters_by_public_transportation,413.0,130.0,,354.0,1532.0,,,,,,,
156,42580.epa.commuters_by_car_truck_van,74230.0,73461.0,79570.0,73084.0,76657.0,81175.0,,,,,,
157,42580.epa.commute_under_10_mins,,,,,,,,,,,,
158,42580.epa.commute_10_29_mins,38415.0,41828.0,43011.0,38900.0,42404.0,40889.0,,,,,,
159,42580.epa.commute_30_59_mins,,,,,,,,,,,,
160,42580.epa.commute_over_60_mins,,,,,,,,,,,,
161,42580.epa.income_per_capita,26162.0,26192.0,25829.0,24614.0,27567.0,26420.0,,,,,,
162,42580.epa.gini_index,0.421,0.446,0.427,0.42,0.4298,0.431,,,,,,
163,42580.epa.poverty,16700.0,21742.0,21438.0,26776.0,21317.0,30566.0,,,,,,
164,42580.epa.rent_over_50_percent,3326.0,4009.0,2661.0,3290.0,3284.0,3947.0,,,,,,
165,42580.epa.rent_25_to_50_percent,5405.0,5911.0,4319.0,6224.0,4789.0,6362.0,,,,,,
166,42580.epa.rent_under_25_percent,3910.0,3807.0,3613.0,1658.0,3241.0,3411.0,,,,,,
167,42580.epa.median_rent,598.0,656.0,684.0,649.0,740.0,692.0,,,,,,
168,49340.epa.total_pop,781352.0,783806.0,803701.0,799553.0,801227.0,806163.0,926710.0,930473.0,935536.0,935781.0,942475.0,947866.0
169,49340.epa.median_age,37.9,38.0,39.2,39.2,39.6,39.7,39.7,40.2,39.8,40.2,40.5,40.1
170,49340.epa.nonfamily_households,91241.0,95397.0,92371.0,101819.0,99530.0,103663.0,112667.0,112413.0,119503.0,125381.0,125366.0,121782.0
171,49340.epa.family_households,198539.0,197370.0,203602.0,194476.0,197418.0,196645.0,232851.0,232083.0,225766.0,224186.0,226990.0,231620.0
172,49340.epa.high_school_including_ged,159899.0,159412.0,153409.0,153461.0,152298.0,157467.0,189295.0,191581.0,187251.0,184778.0,187073.0,184187.0
173,49340.epa.graduate_professional_degree,63172.0,66406.0,70294.0,65736.0,66625.0,71694.0,83528.0,75454.0,83114.0,88118.0,88184.0,92504.0
174,49340.epa.some_college_and_associates_degree,136098.0,133140.0,144900.0,144966.0,146683.0,148688.0,169991.0,168617.0,171713.0,170754.0,175636.0,180154.0
175,49340.epa.housing_units,316101.0,317126.0,320533.0,326963.0,328606.0,327427.0,376556.0,378239.0,379264.0,379980.0,384726.0,386302.0
176,49340.epa.occupied_housing_units,289780.0,292767.0,295973.0,296295.0,296948.0,300308.0,345518.0,344496.0,345269.0,349567.0,352356.0,353402.0
177,49340.epa.median_structure_age,61.0,59.0,59.0,58.0,58.0,58.0,56.0,56.0,56.0,53.0,54.0,54.0
178,49340.epa.dwellings_under_4_units,263443.0,265326.0,267187.0,270003.0,268577.0,273962.0,317356.0,311684.0,314419.0,316181.0,316581.0,321898.0
179,49340.epa.dwellings_5_to_19_units,31013.0,30444.0,31695.0,30610.0,35847.0,28897.0,33063.0,38091.0,35512.0,33885.0,35470.0,35484.0
180,49340.epa.dwellings_20_to_49_units,8050.0,6836.0,8772.0,8679.0,8541.0,9095.0,9791.0,9791.0,11498.0,10138.0,11501.0,11274.0
181,49340.epa.dwellings_50_or_more_units,10718.0,12062.0,10849.0,14989.0,12662.0,12834.0,12808.0,13399.0,14073.0,15255.0,17599.0,13151.0
182,49340.epa.walked_to_work,9932.0,9600.0,12376.0,9534.0,12385.0,11308.0,11674.0,12753.0,12652.0,14740.0,11165.0,14742.0
183,49340.epa.commuters_by_public_transportation,5395.0,5410.0,7136.0,6629.0,5680.0,6231.0,6453.0,6021.0,8066.0,8821.0,7704.0,8098.0
184,49340.epa.commuters_by_car_truck_van,349664.0,364571.0,347648.0,338208.0,345871.0,351691.0,405852.0,417490.0,408345.0,411635.0,405742.0,420241.0
185,49340.epa.commute_under_10_mins,89272.0,94686.0,86723.0,87556.0,80931.0,77772.0,96453.0,86018.0,95438.0,102815.0,95128.0,83315.0
186,49340.epa.commute_10_29_mins,172656.0,182811.0,175245.0,170889.0,167197.0,173915.0,201111.0,213331.0,201861.0,200895.0,202956.0,195152.0
187,49340.epa.commute_30_59_mins,138574.0,140985.0,137098.0,123196.0,137909.0,143086.0,154409.0,162266.0,164558.0,161023.0,160246.0,184396.0
188,49340.epa.commute_over_60_mins,74046.0,78562.0,81764.0,76734.0,85596.0,81542.0,94544.0,93700.0,99112.0,111836.0,100836.0,117128.0
189,49340.epa.income_per_capita,29489.0,31068.0,29668.0,29316.0,30089.0,30599.0,30262.0,31792.0,32718.0,34197.0,35468.0,36369.0
190,49340.epa.gini_index,0.438,0.417,0.427,0.44,0.4439,0.4419,0.4447,0.4502,0.4528,0.4494,0.4621,0.4527
191,49340.epa.poverty,72231.0,61224.0,72299.0,83736.0,90423.0,92497.0,119575.0,100341.0,107297.0,88947.0,96486.0,85112.0
192,49340.epa.rent_over_50_percent,20792.0,16518.0,20525.0,24048.0,25475.0,24370.0,31465.0,26025.0,24686.0,26790.0,27363.0,26262.0
193,49340.epa.rent_25_to_50_percent,32015.0,33621.0,34735.0,34891.0,36618.0,36820.0,42352.0,44413.0,43657.0,41606.0,42923.0,43104.0
194,49340.epa.rent_under_25_percent,20620.0,26637.0,23649.0,24338.0,23618.0,27102.0,29088.0,30107.0,28703.0,30180.0,33296.0,27328.0
195,49340.epa.median_rent,710.0,735.0,735.0,750.0,755.0,780.0,795.0,794.0,834.0,830.0,857.0,905.0
196,24220.epa.total_pop,97909.0,95796.0,96578.0,99586.0,98512.0,98888.0,100748.0,101842.0,102449.0,102743.0,102414.0,102299.0
197,24220.epa.median_age,31.7,30.9,29.8,32.4,31.9,32.0,31.1,32.1,32.0,31.4,32.7,32.7
198,24220.epa.nonfamily_households,16724.0,15289.0,16789.0,16303.0,16641.0,17576.0,16686.0,17440.0,17750.0,18373.0,20859.0,18472.0
199,24220.epa.family_households,22569.0,23410.0,23247.0,23690.0,22630.0,23378.0,24296.0,24442.0,24416.0,23454.0,21754.0,24609.0
200,24220.epa.high_school_including_ged,15381.0,15017.0,14521.0,15093.0,15900.0,17315.0,15411.0,16839.0,16438.0,18134.0,15199.0,16822.0
